Show Name,Days Since Launch, Viewing Accounts ,Sonic Show ID
People Magazine Investigates,28," 81,453 ",go-show-1362
Magnolia Workshops,28," 144,735 ",go-show-23692
Inventions That Changed History,28," 145,318 ",go-show-23624
Great White Open Ocean,28," 142,052 ",go-show-24367
Unraveled: The Stalker’s Web,28," 138,865 ",go-show-21329
Ghost Nation,28," 80,890 ",go-show-12248
The Great Soul Food Cook-Off,28," 135,311 ",go-show-22477
Carole Baskin's Cage Fight,28," 134,963 ",go-show-22343
Chopped: Volume 3,28," 136,305 ",go-show-18947
How It's Made,28," 80,399 ",go-show-12269
Pushing the Line,28," 130,133 ",go-show-13847
Love It or List It,28," 80,123 ",go-show-1426
Paranormal Caught on Camera,28," 79,970 ",go-show-997
Leah Remini: It's All Relative,28," 79,914 ",go-show-3201
Valley of The Kings: The Lost Tombs,28," 122,838 ",go-show-13391
"You, Me & My Ex",28," 134,412 ",go-show-21341
Disappeared,28," 79,425 ",go-show-2517
One Week To Sell,28," 112,184 ",go-show-13280
Celebrity IOU Joyride,28," 133,075 ",go-show-21384
Long Island Medium: There In Spirit,28," 113,048 ",go-show-13213
Nostradamus: End Of Days,28," 117,817 ",go-show-13336
Flip or Flop,28," 78,300 ",go-show-12438
$50K Three Ways,28," 131,259 ",go-show-13780
The Murder List,28," 118,493 ",go-show-13355
Invisible Monsters: Serial Killers in America,28," 118,493 ",go-show-24115
Handcrafted Hotels,28," 135,713 ",go-show-23721
Moonshiners: Smoke Ring,28," 123,537 ",go-show-13668
"Michelle Carter: Love, Texts & Death",28," 127,504 ",go-show-21933
So Freakin Cheap,28," 132,276 ",go-show-21305
The Sleepless Unrest,28," 137,770 ",go-show-23566
The Great Giveback with Melissa McCarthy and Jenna Perusich,28," 134,357 ",go-show-24143
Ben & Jerry's: Clash of the Cones,28," 130,501 ",go-show-21738
Web of Darkness,28," 123,620 ",go-show-13832
Faking It: Murder Far From Home,28," 122,745 ",go-show-24875
"Renovation, Inc: The Lake House",28," 126,620 ",go-show-21885
Tales From The Explorers Club,28," 130,679 ",go-show-24671
Good Bones,28," 75,760 ",go-show-12253
Great White Serial Killer: Fatal Christmas,28," 132,197 ",go-show-24309
Storied Spaces,28," 124,611 ",go-show-24663
Chopped 420,28," 127,299 ",go-show-13731
Johnny vs Amber: The U.S. Trial,28," 123,897 ",go-show-24768
Monster Garage,28," 75,143 ",go-show-12736
Life Under Renovation,28," 124,016 ",go-show-13741
Keep Sweet,28," 123,662 ",go-show-22652
It's CompliPlated,28," 127,576 ",go-show-24490
Uprooted,28," 129,575 ",go-show-23403
Help! I Wrecked My House: Jasmine Buys a Cabin,28," 119,535 ",go-show-24843
Fix My Flip,28," 131,880 ",go-show-23579
Outchef'd,28," 119,491 ",go-show-24798
The Lost Boys of Bucks County,28," 73,326 ",go-show-11279
Fixer to Fabulous,28," 73,107 ",go-show-1472
The Pioneer Woman: Ranch Wedding,28," 124,498 ",go-show-19250
Money Hungry,28," 124,010 ",go-show-21575
Tarek and Heather: The Big I Do,28," 127,581 ",go-show-22868
My Pack Life,28," 127,823 ",go-show-23435
Alien Invasion: Hudson Valley,28," 123,133 ",go-show-21659
Building Off the Grid: Big Sky Ranch,28," 126,231 ",go-show-22860
Duff: Ace of Taste,28," 124,062 ",go-show-24627
Rise of the Monster Hammerheads,28," 125,013 ",go-show-24361
High Design,28," 124,587 ",go-show-23654
40 Year Old Property Virgin,28," 117,152 ",go-show-13787
No-Recipe Road Trip with the Try Guys,28," 122,170 ",go-show-24660
Unraveled: Once a Killer...,28," 121,269 ",go-show-23869
Mountain Monsters,28," 70,164 ",go-show-12281
From the Source,28," 116,903 ",go-show-21258
Home Again with the Fords,28," 112,509 ",go-show-13272
The Spawn of El Diablo,28," 119,257 ",go-show-21248
Underground Railroad: The Secret History,28," 124,781 ",go-show-23385
Meet The Meerkats,28," 116,036 ",go-show-13773
The Undateables,28," 115,285 ",go-show-13766
Battle Of The Brothers,28," 114,526 ",go-show-14283
Love At The Christmas Table,28," 115,609 ",go-show-22747
The Beatrice Six: Keith Morrison Investigates,28," 110,539 ",go-show-13700
Martha Gets Down and Dirty,28," 117,620 ",go-show-17416
Silos Baking Competition,28," 119,420 ",go-show-24085
Beyond Reasonable Doubt,28," 119,080 ",go-show-24493
Good With Wood,28," 114,230 ",go-show-22671
Body Parts,28," 117,700 ",go-show-23806
Expedition Unknown: Shark Trek,28," 115,824 ",go-show-21197
Art in Bloom with Helen Dealtry,28," 107,387 ",go-show-21233
Where We Call Home,28," 114,531 ",go-show-21207
Fight or Flight,28," 115,988 ",go-show-24107
Hotel Paranormal,28," 106,281 ",go-show-22047
