,title_name,title_id,primary_genre_desc,program_type,air_date,theatrical_release_date,asset_run_time,offering_start_date,offering_end_date,territory,licensor
71,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2021-06-01 03:00:00,2022-06-29 02:59:00,CARIBBEAN,"The Floating Opera Company, Warner Media Direct, LLC"
72,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2021-01-10 23:00:00,2021-01-12 22:59:00,NETHERLANDS,"The Floating Opera Company, Warner Media Direct, LLC"
73,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2022-01-23 23:00:00,2022-06-29 02:00:00,CZECHIA_SLOVAKIA,"The Floating Opera Company, Warner Media Direct, LLC"
74,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2021-09-05 22:00:00,2022-06-29 02:00:00,SPAIN,"The Floating Opera Company, Warner Media Direct, LLC"
75,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2021-06-01 05:00:00,2022-06-29 04:59:00,COLOMBIA,"The Floating Opera Company, Warner Media Direct, LLC"
76,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2022-01-23 22:00:00,2022-06-29 02:00:00,ROMANIA,"The Floating Opera Company, Warner Media Direct, LLC"
77,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2022-01-23 23:00:00,2022-06-29 02:00:00,POLAND,"The Floating Opera Company, Warner Media Direct, LLC"
78,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2021-06-01 03:00:00,2022-06-29 02:59:00,BRAZIL,"The Floating Opera Company, Warner Media Direct, LLC"
79,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2022-01-23 23:00:00,2022-06-29 02:00:00,HUNGARY,"The Floating Opera Company, Warner Media Direct, LLC"
80,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2022-01-25 00:00:00,2022-06-29 02:00:00,PORTUGAL,"The Floating Opera Company, Warner Media Direct, LLC"
81,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2022-01-23 23:00:00,2022-06-29 02:00:00,ADRIA,"The Floating Opera Company, Warner Media Direct, LLC"
82,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2021-01-14 08:01:00,2022-07-01 03:59:00,HBO MAX DOMESTIC,"The Floating Opera Company, Warner Media Direct, LLC"
83,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2021-01-10 23:00:00,2021-01-12 22:59:59,SPAIN,"The Floating Opera Company, Warner Media Direct, LLC"
84,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2021-06-01 03:00:00,2022-06-29 02:59:00,ARGENTINA,"The Floating Opera Company, Warner Media Direct, LLC"
85,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2021-06-01 03:00:00,2022-06-29 02:59:00,REST OF LATAM,"The Floating Opera Company, Warner Media Direct, LLC"
86,Snow Flower and the Secret Fan,GYrYecQ1HhMPDwwEAAAAC,drama,acquired,2022-03-01,,6262.0,2022-10-12 05:00:00,2024-09-01 02:59:00,BRAZIL,Fox Searchlight Pictures|Eagle Pictures|Twentieth Century Fox Home Entertainment
87,Snow Flower and the Secret Fan,GYrYecQ1HhMPDwwEAAAAC,drama,acquired,2022-03-01,,6262.0,2022-10-12 05:00:00,2024-09-01 04:59:00,MEXICO,Fox Searchlight Pictures|Eagle Pictures|Twentieth Century Fox Home Entertainment
88,Snow Flower and the Secret Fan,GYrYecQ1HhMPDwwEAAAAC,drama,acquired,2022-03-01,,6262.0,2022-10-12 05:00:00,2024-09-01 04:59:00,COLOMBIA,Fox Searchlight Pictures|Eagle Pictures|Twentieth Century Fox Home Entertainment
89,Snow Flower and the Secret Fan,GYrYecQ1HhMPDwwEAAAAC,drama,acquired,2022-03-01,,6262.0,2022-10-12 05:00:00,2024-09-01 02:59:00,REST OF LATAM,Fox Searchlight Pictures|Eagle Pictures|Twentieth Century Fox Home Entertainment
90,Snow Flower and the Secret Fan,GYrYecQ1HhMPDwwEAAAAC,drama,acquired,2022-03-01,,6262.0,2022-10-12 05:00:00,2024-09-01 02:59:00,CARIBBEAN,Fox Searchlight Pictures|Eagle Pictures|Twentieth Century Fox Home Entertainment
91,Snow Flower and the Secret Fan,GYrYecQ1HhMPDwwEAAAAC,drama,acquired,2022-03-01,,6262.0,2022-10-12 05:00:00,2024-09-01 02:59:00,ARGENTINA,Fox Searchlight Pictures|Eagle Pictures|Twentieth Century Fox Home Entertainment
92,In the Mouth of Madness,GYGQLpwG6JkQTOgEAAAAG,horror,acquired,1995-02-03,,5719.0,2021-02-01 06:00:00,2021-02-02 05:59:00,MEXICO,New Line Cinema|Metropolitan Filmexport|Katja Motion Picture Corporation|Warner Home Video
93,In the Mouth of Madness,GYGQLpwG6JkQTOgEAAAAG,horror,acquired,1995-02-03,,5719.0,2021-02-01 03:00:00,2021-02-02 02:59:00,BRAZIL,New Line Cinema|Metropolitan Filmexport|Katja Motion Picture Corporation|Warner Home Video
94,In the Mouth of Madness,GYGQLpwG6JkQTOgEAAAAG,horror,acquired,1995-02-03,,5719.0,2021-02-01 03:00:00,2021-02-02 02:59:00,ARGENTINA,New Line Cinema|Metropolitan Filmexport|Katja Motion Picture Corporation|Warner Home Video
95,In the Mouth of Madness,GYGQLpwG6JkQTOgEAAAAG,horror,acquired,1995-02-03,,5719.0,2021-02-01 03:00:00,2021-02-02 02:59:00,REST OF LATAM,New Line Cinema|Metropolitan Filmexport|Katja Motion Picture Corporation|Warner Home Video
96,In the Mouth of Madness,GYGQLpwG6JkQTOgEAAAAG,horror,acquired,1995-02-03,,5719.0,2021-02-01 05:00:00,2021-02-02 04:59:00,COLOMBIA,New Line Cinema|Metropolitan Filmexport|Katja Motion Picture Corporation|Warner Home Video
97,In the Mouth of Madness,GYGQLpwG6JkQTOgEAAAAG,horror,acquired,1995-02-03,,5719.0,2021-02-01 04:00:00,2021-02-02 03:59:00,CARIBBEAN,New Line Cinema|Metropolitan Filmexport|Katja Motion Picture Corporation|Warner Home Video
98,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2022-11-06 23:00:00,2022-12-13 23:00:00,SPAIN,New Line Cinema|Contrafilm
99,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2021-05-03 05:00:00,2022-06-29 04:59:00,MEXICO,New Line Cinema|Contrafilm
100,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2023-10-26 22:00:00,2024-09-30 21:59:00,SPAIN,New Line Cinema|Contrafilm
101,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2021-01-04 03:00:00,2021-01-05 02:59:00,BRAZIL,New Line Cinema|Contrafilm
102,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2022-10-19 05:00:00,2024-01-01 02:59:00,REST OF LATAM,New Line Cinema|Contrafilm
103,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2022-10-19 05:00:00,2024-01-01 02:59:00,BRAZIL,New Line Cinema|Contrafilm
104,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2021-05-03 03:00:00,2022-06-29 02:59:00,BRAZIL,New Line Cinema|Contrafilm
105,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2021-01-04 03:00:00,2021-01-05 02:59:00,ARGENTINA,New Line Cinema|Contrafilm
106,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2021-10-01 07:01:00,2022-04-01 07:00:00,HBO MAX DOMESTIC,New Line Cinema|Contrafilm
107,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2022-10-19 05:00:00,2024-01-01 02:59:00,ARGENTINA,New Line Cinema|Contrafilm
108,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2021-05-03 03:00:00,2022-06-29 02:59:00,CARIBBEAN,New Line Cinema|Contrafilm
109,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2021-05-03 03:00:00,2022-06-29 02:59:00,ARGENTINA,New Line Cinema|Contrafilm
110,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2021-05-03 03:00:00,2022-06-29 02:59:00,REST OF LATAM,New Line Cinema|Contrafilm
111,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2022-10-19 05:00:00,2024-01-01 05:59:00,MEXICO,New Line Cinema|Contrafilm
112,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2021-05-03 05:00:00,2022-06-29 04:59:00,COLOMBIA,New Line Cinema|Contrafilm
113,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2022-10-19 05:00:00,2024-01-01 03:59:00,CARIBBEAN,New Line Cinema|Contrafilm
114,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2022-10-19 05:00:00,2024-01-01 04:59:00,COLOMBIA,New Line Cinema|Contrafilm
115,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,,6726.0,2022-11-21 00:00:00,2024-04-30 22:59:00,PORTUGAL,New Line Cinema|Contrafilm
116,Moonshot,GYhfK9AxT1KKnnQEAAADT,comedy,acquired,2022-03-24,,6123.0,2022-03-30 22:00:00,2022-06-29 02:00:00,ADRIA,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
117,Moonshot,GYhfK9AxT1KKnnQEAAADT,comedy,acquired,2022-03-24,,6123.0,2022-03-30 22:00:00,2022-06-29 02:00:00,HUNGARY,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
118,Moonshot,GYhfK9AxT1KKnnQEAAADT,comedy,acquired,2022-03-24,,6123.0,2022-03-30 22:00:00,2022-06-29 02:00:00,POLAND,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
119,Moonshot,GYhfK9AxT1KKnnQEAAADT,comedy,acquired,2022-03-24,,6123.0,2022-03-30 23:00:00,2022-06-29 02:00:00,PORTUGAL,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
120,Moonshot,GYhfK9AxT1KKnnQEAAADT,comedy,acquired,2022-03-24,,6123.0,2022-03-30 22:00:00,2022-06-29 02:00:00,NETHERLANDS,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
121,Moonshot,GYhfK9AxT1KKnnQEAAADT,comedy,acquired,2022-03-24,,6123.0,2022-03-30 21:00:00,2022-06-29 02:00:00,ROMANIA,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
122,Moonshot,GYhfK9AxT1KKnnQEAAADT,comedy,acquired,2022-03-24,,6123.0,2024-03-01 03:00:00,2024-03-02 02:59:00,ARGENTINA,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
