,genre,medal,category,is_pay_1,hit_series,program_type,days_on_hbo_max,asset_run_time_hours,churn_per_hr_person,change_in_churn_prediction
3452,other,Silver,movies,0,0,original,2,1.6302582698197332,-0.03823411062516256,-0.0001429253406592751
3453,other,Silver,movies,0,0,original,3,1.6302582698197332,-0.03823411062516256,-0.0001312247496005998
3454,other,Silver,movies,0,0,original,4,1.6302582698197332,-0.03823411062516256,-0.00012052243134071946
3455,other,Silver,movies,0,0,original,5,1.6302582698197332,-0.03823411062516256,-0.00011073321508990083
3456,other,Silver,movies,0,0,original,6,1.6302582698197332,-0.03823411062516256,-0.00010177919667273938
3457,other,Silver,movies,0,0,original,7,1.6302582698197332,-0.03823411062516256,-9.358911855405836e-05
3458,other,Silver,movies,0,0,original,8,1.6302582698197332,-0.03823411062516256,-8.609780275985184e-05
3459,other,Silver,movies,0,0,original,9,1.6302582698197332,-0.03823411062516256,-7.92456321803646e-05
3460,other,Silver,movies,0,0,original,10,1.6302582698197332,-0.03823411062516256,-7.297807612743445e-05
3461,other,Silver,movies,0,0,original,11,1.6302582698197332,-0.03823411062516256,-6.724525637040486e-05
3462,other,Silver,movies,0,0,original,12,1.6302582698197332,-0.03823411062516256,-6.200155019705138e-05
3463,other,Silver,movies,0,0,original,13,1.6302582698197332,-0.03823411062516256,-5.7205227340615956e-05
3464,other,Silver,movies,0,0,original,14,1.6302582698197332,-0.03823411062516256,-5.281811788355565e-05
3465,other,Silver,movies,0,0,original,15,1.6302582698197332,-0.03823411062516256,-4.880530849512924e-05
3466,other,Silver,movies,0,0,original,16,1.6302582698197332,-0.03823411062516256,-4.513486458543182e-05
3467,other,Silver,movies,0,0,original,17,1.6302582698197332,-0.03823411062516256,-4.1777576164733135e-05
3468,other,Silver,movies,0,0,original,18,1.6302582698197332,-0.03823411062516256,-3.8706725385627594e-05
3469,other,Silver,movies,0,0,original,19,1.6302582698197332,-0.03823411062516256,-3.5897873918058266e-05
3470,other,Silver,movies,0,0,original,20,1.6302582698197332,-0.03823411062516256,-3.332866846511063e-05
3471,other,Silver,movies,0,0,original,21,1.6302582698197332,-0.03823411062516256,-3.097866287183947e-05
3472,other,Silver,movies,0,0,original,22,1.6302582698197332,-0.03823411062516256,-2.8829155411441635e-05
3473,other,Silver,movies,0,0,original,23,1.6302582698197332,-0.03823411062516256,-2.686303995387182e-05
3474,other,Silver,movies,0,0,original,24,1.6302582698197332,-0.03823411062516256,-2.50646698324769e-05
3475,other,Silver,movies,0,0,original,25,1.6302582698197332,-0.03823411062516256,-2.3419733325277303e-05
3476,other,Silver,movies,0,0,original,26,1.6302582698197332,-0.03823411062516256,-2.191513975995539e-05
3477,other,Silver,movies,0,0,original,27,1.6302582698197332,-0.03823411062516256,-2.053891533615555e-05
3478,other,Silver,movies,0,0,original,28,1.6302582698197332,-0.03823411062516256,-1.9280107836033087e-05
3479,other,Silver,movies,0,0,original,29,1.6302582698197332,-0.03823411062516256,-1.812869946472298e-05
3480,other,Silver,movies,0,0,original,30,1.6302582698197332,-0.03823411062516256,-1.7075527127098666e-05
3481,other,Silver,movies,0,0,original,31,1.6302582698197332,-0.03823411062516256,-1.6112209506370403e-05
3482,other,Silver,movies,0,0,original,32,1.6302582698197332,-0.03823411062516256,-1.5231080364202796e-05
3483,other,Silver,movies,0,0,original,33,1.6302582698197332,-0.03823411062516256,-1.4425127531543021e-05
3484,other,Silver,movies,0,0,original,34,1.6302582698197332,-0.03823411062516256,-1.3687937104638758e-05
3485,other,Silver,movies,0,0,original,35,1.6302582698197332,-0.03823411062516256,-1.3013642402148775e-05
3486,other,Silver,movies,0,0,original,36,1.6302582698197332,-0.03823411062516256,-1.2396877277138408e-05
3487,other,Silver,movies,0,0,original,37,1.6302582698197332,-0.03823411062516256,-1.1832733412409308e-05
3488,other,Silver,movies,0,0,original,38,1.6302582698197332,-0.03823411062516256,-1.1316721259312725e-05
3489,other,Silver,movies,0,0,original,39,1.6302582698197332,-0.03823411062516256,-1.0844734309190994e-05
3490,other,Silver,movies,0,0,original,40,1.6302582698197332,-0.03823411062516256,-1.0413016413113625e-05
3491,other,Silver,movies,0,0,original,41,1.6302582698197332,-0.03823411062516256,-1.0018131889833052e-05
3492,other,Silver,movies,0,0,original,42,1.6302582698197332,-0.03823411062516256,-9.656938184074372e-06
3493,other,Silver,movies,0,0,original,43,1.6302582698197332,-0.03823411062516256,-9.326560857569243e-06
3494,other,Silver,movies,0,0,original,44,1.6302582698197332,-0.03823411062516256,-9.024370713808542e-06
3495,other,Silver,movies,0,0,original,45,1.6302582698197332,-0.03823411062516256,-8.74796287446883e-06
3496,other,Silver,movies,0,0,original,46,1.6302582698197332,-0.03823411062516256,-8.495137640999436e-06
3497,other,Silver,movies,0,0,original,47,1.6302582698197332,-0.03823411062516256,-8.263882989063559e-06
