Region,Country,Company,Business Line,Business model,Distribution/Technology,Digital/Analogue,Year,Quarter,Value
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2024,Q4,"875,121"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2006,Q1,"871,249"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2025,Q1,"848,705"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2025,Q2,"830,919"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2005,Q4,"807,179"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2025,Q3,"806,283"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2025,Q4,"776,943"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2026,Q1,"756,949"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2026,Q2,"744,095"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2005,Q3,"743,419"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2026,Q3,"727,167"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2026,Q4,"707,699"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2027,Q1,"694,787"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2027,Q2,"687,004"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2005,Q2,"685,213"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2027,Q3,"676,184"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2027,Q4,"663,503"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2005,Q1,"630,138"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2027,Q4,"2,626,179"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2027,Q3,"2,578,767"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2027,Q2,"2,532,800"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2027,Q1,"2,492,320"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2026,Q4,"2,446,186"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2026,Q3,"2,389,624"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2026,Q2,"2,334,649"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2026,Q1,"2,287,459"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2025,Q4,"2,233,835"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2025,Q3,"2,168,444"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2025,Q2,"2,105,170"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2025,Q1,"2,050,916"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2024,Q4,"1,991,263"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2024,Q3,"1,919,411"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2024,Q2,"1,849,544"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2024,Q1,"1,789,120"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2023,Q4,"1,723,011"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2023,Q3,"1,644,036"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2023,Q2,"1,571,400"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2023,Q1,"1,512,529"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2022,Q4,"1,451,808"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2022,Q3,"1,380,309"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2022,Q2,"1,306,192"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2022,Q1,"1,241,829"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2021,Q4,"1,180,246"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2021,Q3,"1,117,670"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2021,Q2,"1,062,467"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2021,Q1,"1,031,033"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2020,Q4,"994,409"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2020,Q3,"945,813"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2020,Q2,"900,737"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2020,Q1,"874,104"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2019,Q4,"853,166"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2019,Q3,"814,425"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2019,Q2,"755,901"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2019,Q1,"697,739"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2018,Q4,"639,363"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2018,Q3,"574,428"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2018,Q2,"512,624"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2018,Q1,"466,891"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2017,Q4,"428,356"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2017,Q3,"388,651"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2017,Q2,"347,270"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2017,Q1,"306,504"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2016,Q4,"265,021"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2016,Q3,"227,125"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2016,Q2,"194,231"
