Region,Country,Company,Business Line,Business model,Distribution/Technology,Digital/Analogue,Year,Quarter,Value
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2017,Q2,"13,887"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2007,Q3,"13,760"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2017,Q3,"13,657"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2017,Q4,"13,376"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2007,Q2,"13,261"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2018,Q1,"13,163"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2018,Q2,"12,873"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2007,Q1,"12,861"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2018,Q3,"12,501"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2018,Q4,"12,175"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2019,Q1,"11,880"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2019,Q2,"11,408"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2019,Q3,"10,963"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2019,Q4,"10,618"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2020,Q1,"10,366"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2020,Q2,"10,073"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2020,Q3,"9,895"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2020,Q4,"9,663"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2021,Q1,"9,530"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2021,Q2,"9,373"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2021,Q3,"9,067"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2021,Q4,"8,755"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2006,Q4,"8,538"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2022,Q1,"8,424"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2006,Q3,"8,155"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2022,Q2,"8,036"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2006,Q2,"7,774"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2022,Q3,"7,622"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2006,Q1,"7,432"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2022,Q4,"7,260"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2023,Q1,"7,039"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2005,Q4,"6,921"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2023,Q2,"6,779"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2005,Q3,"6,496"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2023,Q3,"6,410"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2023,Q4,"6,059"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2005,Q2,"5,968"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2024,Q1,"5,874"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2024,Q2,"5,656"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2005,Q1,"5,608"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2024,Q3,"5,390"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2024,Q4,"5,146"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2004,Q4,"5,100"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2025,Q1,"5,017"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2025,Q2,"4,867"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2025,Q3,"4,668"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2025,Q4,"4,483"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2026,Q1,"4,391"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2026,Q2,"4,283"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2026,Q3,"4,145"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2026,Q4,"4,018"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2027,Q1,"3,957"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2027,Q2,"3,885"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2027,Q3,"3,791"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2027,Q4,"3,704"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2027,Q4,"12,665"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2027,Q3,"12,515"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2027,Q2,"12,341"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2027,Q1,"12,202"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2026,Q4,"12,072"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2026,Q3,"11,875"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2026,Q2,"11,646"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2026,Q1,"11,460"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2025,Q4,"11,286"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2025,Q3,"11,036"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2025,Q2,"10,749"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2025,Q1,"10,520"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2024,Q4,"10,307"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2024,Q3,"10,024"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2024,Q2,"9,694"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2024,Q1,"9,416"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2023,Q4,"9,159"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2023,Q3,"8,824"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2023,Q2,"8,445"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2023,Q1,"8,160"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2022,Q4,"7,892"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2022,Q3,"7,593"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2022,Q2,"7,229"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2022,Q1,"6,890"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2021,Q4,"6,579"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2021,Q3,"6,287"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2021,Q2,"5,975"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2021,Q1,"5,790"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2020,Q4,"5,611"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2020,Q3,"5,381"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2020,Q2,"5,045"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2020,Q1,"4,854"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2019,Q4,"4,675"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2019,Q3,"4,512"
