,date_month,sub_month,is_cancel,subscriber_count
724,2023-01-01,5,False,406540
725,2022-05-01,5,False,618443
726,2022-10-01,5,True,23516
727,2022-09-01,5,False,292510
728,2022-11-01,5,True,22904
729,2023-04-01,5,False,237188
730,2022-04-01,5,True,34276
731,2022-08-01,5,False,270013
732,2023-01-01,5,True,47556
733,2023-02-01,5,True,32121
734,2022-04-01,5,False,362320
735,2022-07-01,5,True,41634
736,2022-11-01,5,False,221334
737,2022-10-01,5,False,252875
738,2023-01-01,4,False,326054
739,2023-04-01,4,True,39168
740,2022-09-01,4,False,272986
741,2023-06-01,4,True,12
742,2023-03-01,4,True,27420
743,2022-06-01,4,True,53278
744,2023-04-01,4,False,314632
745,2022-03-01,4,True,41109
746,2022-05-01,4,True,48810
747,2023-02-01,4,True,30856
748,2022-02-01,4,True,51480
749,2022-04-01,4,True,78795
750,2022-01-01,4,False,267510
751,2022-11-01,4,False,260260
752,2023-03-01,4,False,262136
753,2022-07-01,4,False,300383
754,2022-12-01,4,False,455942
755,2022-11-01,4,True,31694
756,2022-10-01,4,True,26702
757,2022-08-01,4,True,42122
758,2022-03-01,4,False,396451
759,2022-10-01,4,False,244937
760,2023-06-01,4,False,2
761,2022-06-01,4,False,409079
762,2022-04-01,4,False,672497
763,2023-01-01,4,True,44521
764,2022-08-01,4,False,322885
765,2023-05-01,4,True,133803
766,2022-02-01,4,False,489235
767,2022-05-01,4,False,429654
768,2023-05-01,4,False,263876
769,2022-01-01,4,True,32818
770,2022-07-01,4,True,37917
771,2022-12-01,4,True,59800
772,2023-02-01,4,False,249270
773,2022-09-01,4,True,31326
774,2022-05-01,3,False,462886
775,2023-01-01,3,False,290483
776,2023-01-01,3,True,46886
777,2023-02-01,3,True,41543
778,2022-08-01,3,True,45949
779,2022-02-01,3,False,433408
780,2023-05-01,3,True,102923
781,2022-06-01,3,True,50145
782,2023-06-01,3,True,65
783,2022-10-01,3,True,39492
784,2022-10-01,3,False,295956
785,2022-07-01,3,False,366387
786,2023-03-01,3,False,358520
787,2022-03-01,3,False,745565
788,2022-07-01,3,True,56257
789,2022-12-01,3,True,58938
790,2023-06-01,3,False,11
791,2022-01-01,3,True,76743
792,2022-09-01,3,True,37350
793,2022-04-01,3,True,70486
794,2023-02-01,3,False,287784
795,2022-02-01,3,True,55367
796,2022-11-01,3,True,96223
797,2022-01-01,3,False,552589
798,2022-09-01,3,False,271565
799,2023-03-01,3,True,47649
800,2022-03-01,3,True,100589
801,2023-04-01,3,False,397070
802,2023-04-01,3,True,68542
803,2022-08-01,3,False,308199
804,2022-04-01,3,False,473357
805,2023-05-01,3,False,239645
806,2022-06-01,3,False,338235
