,expiration_month,level,title_viewed_lower_bound,title_viewed_upper_bound,title_viewed_bin,churn,vol_churn,invol_churn,user_dist,user_id,is_cancel
188,2023-12,total,0.5,1.0,0.75,0.053825157845153945,0.03844268964018759,0.015382468204966353,0.08711225064423411,630523,33938
189,2023-12,total,1.0,1.5,1.25,0.04921721703548011,0.03428079632978835,0.01493642070569176,0.07914118329075281,572828,28193
190,2023-12,total,1.5,2.0,1.75,0.046010224065878146,0.03111940413588909,0.01489081992998905,0.07167342815442608,518776,23869
191,2023-12,total,2.0,2.5,2.25,0.043987634377460415,0.029071226758143096,0.014916407619317316,0.06440006233721449,466131,20504
192,2023-12,total,2.5,3.0,2.75,0.04169890809044794,0.02690845346249009,0.014790454627957852,0.05784926662588221,418716,17460
193,2023-12,total,3.0,3.5,3.25,0.040446958348215954,0.025288011984283956,0.015158946363931997,0.05183134909779592,375158,15174
194,2023-12,total,3.5,4.0,3.75,0.03987011872238025,0.024147025132678402,0.015723093589701847,0.046676509093883274,337847,13470
195,2023-12,total,4.0,4.5,4.25,0.03840094590443855,0.022858256351992706,0.015542689552445843,0.041831559099050404,302779,11627
196,2023-12,total,4.5,5.0,4.75,0.03839953584189247,0.02257996996191994,0.015819565879972533,0.03762352080366375,272321,10457
197,2023-12,total,5.0,5.5,5.25,0.03764204834631499,0.021660973196581473,0.015981075149733515,0.03393219612127683,245603,9245
198,2023-12,total,5.5,6.0,5.75,0.03631073505218649,0.02063439549333563,0.015676339558850855,0.030484859738504226,220651,8012
199,2023-12,total,6.0,6.5,6.25,0.03580912529170355,0.019795606341031623,0.016013518950671924,0.027470374625658947,198832,7120
200,2023-12,total,6.5,7.0,6.75,0.03646173695939945,0.019666325954970202,0.016795411004429252,0.024735522762201763,179037,6528
201,2023-12,total,7.0,7.5,7.25,0.03555192696639638,0.019019167609893677,0.0165327593565027,0.02233736369951473,161679,5748
202,2023-12,total,7.5,8.0,7.75,0.036008308027666004,0.017959597759848647,0.01804871026781736,0.02015500855755112,145883,5253
203,2023-12,total,8.0,8.5,8.25,0.035735421313788866,0.01789047207174398,0.017844949242044886,0.0182095956204791,131802,4710
204,2023-12,total,8.5,9.0,8.75,0.0364429047212599,0.018242372512593932,0.018200532208665965,0.0165102433638222,119502,4355
205,2023-12,total,9.0,9.5,9.25,0.03582629674306393,0.01814048436485107,0.01768581237821286,0.014889365260155633,107770,3861
206,2023-12,total,9.5,10.0,9.75,0.03457736492735157,0.017078032840789986,0.01749933208656158,0.013445330318157428,97318,3365
207,2023-12,total,10.0,10.5,10.25,0.035940971120279275,0.01700140544951716,0.018939565670762118,0.01218946755287196,88228,3171
208,2023-12,total,10.5,11.0,10.75,0.03505537353780225,0.016431427752793593,0.018623945785008658,0.011090414934847111,80273,2814
209,2023-12,total,11.0,11.5,11.25,0.03567574950488288,0.016103257529194837,0.01957249197568804,0.010115290688710166,73215,2612
210,2023-12,total,11.5,12.0,11.75,0.03476946334089191,0.015918367346938776,0.018851095993953137,0.009139199331532849,66150,2300
211,2023-12,total,12.0,13.0,12.5,0.03566940129167394,0.015753185547215918,0.01991621574445802,0.01583022614371933,114580,4087
212,2023-12,total,13.0,14.0,13.5,0.036119039623908666,0.015100319006044326,0.021018720617864337,0.013165973386209439,95296,3442
213,2023-12,total,14.0,15.0,14.5,0.036645053863814114,0.015074299265837475,0.021570754597976638,0.010952394373513757,79274,2905
214,2023-12,total,15.0,16.0,15.5,0.03617767121416757,0.014977920087409138,0.021199751126758426,0.009104245175359337,65897,2384
215,2023-12,total,16.0,19.0,17.5,0.037051841171726115,0.0145680616126937,0.022483779559032413,0.019356174838202324,140101,5191
216,2023-12,total,19.0,216.5,117.75,0.04182995660683869,0.01358718259719674,0.028242774009641952,0.031552274009636845,228377,9553
217,2023-08,total,-0.011,0.0,-0.0055,,,,0.0,0,0
218,2023-08,total,0.0,0.5,0.25,0.06403531966175297,0.04691067369737772,0.017124645964375244,0.10781595943298501,786644,50373
219,2023-08,total,0.5,1.0,0.75,0.05628921482446458,0.040204111630212674,0.016085103194251903,0.0951092997508009,693934,39061
220,2023-08,total,1.0,1.5,1.25,0.05173195428948911,0.03574655212053897,0.01598540216895014,0.08465066759646905,617626,31951
221,2023-08,total,1.5,2.0,1.75,0.04840619523516317,0.03276508458150101,0.015641110653662162,0.07523641842971399,548938,26572
222,2023-08,total,2.0,2.5,2.25,0.04593115062576303,0.03025361983171617,0.01567753079404686,0.06657283666754658,485727,22310
223,2023-08,total,2.5,3.0,2.75,0.04362234923944816,0.027722440468432908,0.01589990877101525,0.05889223584854199,429688,18744
224,2023-08,total,3.0,3.5,3.25,0.04226574250344458,0.026418061150435962,0.015847681353008614,0.05212430514952083,380308,16074
225,2023-08,total,3.5,4.0,3.75,0.04143437672915935,0.025036739987981414,0.016397636741177942,0.046071543798160516,336146,13928
226,2023-08,total,4.0,4.5,4.25,0.04049296363289857,0.02364513572882988,0.016847827904068687,0.04099258049492789,299089,12111
227,2023-08,total,4.5,5.0,4.75,0.03945653847453744,0.022967182764849246,0.0164893557096882,0.036497621904302176,266293,10507
228,2023-08,total,5.0,5.5,5.25,0.03845248008613221,0.02146996727985398,0.01698251280627823,0.03258886095644101,237774,9143
229,2023-08,total,5.5,6.0,5.75,0.03797056632946478,0.02054794520547945,0.01742262112398533,0.029075238611359872,212138,8055
230,2023-08,total,6.0,6.5,6.25,0.03783220205545035,0.020336404451347958,0.01749579760410239,0.025765284654669693,187988,7112
231,2023-08,total,6.5,7.0,6.75,0.037315428265842714,0.01951929647345435,0.017796131792388366,0.023066198805017535,168295,6280
232,2023-08,total,7.0,7.5,7.25,0.0370860839011925,0.01865949744463373,0.01842658645655877,0.020596000040569207,150272,5573
233,2023-08,total,7.5,8.0,7.75,0.037680625184311416,0.01903568268947213,0.018644942494839282,0.018590565411406034,135640,5111
234,2023-08,total,8.0,8.5,8.25,0.03746148395920183,0.01811695694442156,0.019344527014780274,0.01663584229213832,121378,4547
235,2023-08,total,8.5,9.0,8.75,0.036736771308599786,0.01749586461381855,0.019240906694781235,0.015079958345291656,110026,4042
236,2023-08,total,9.0,9.5,9.25,0.03735614748296018,0.017403879214448963,0.019952268268511215,0.013553130723033744,98886,3694
237,2023-08,total,9.5,10.0,9.75,0.0362682736301752,0.017040508871777705,0.0192277647583975,0.012281779464141069,89610,3250
238,2023-08,total,10.0,10.5,10.25,0.03630485216447011,0.016437139049311416,0.019867713115158694,0.011106643015914916,81036,2942
239,2023-08,total,10.5,11.0,10.75,0.036839002454105485,0.016260162601626018,0.02057883985247947,0.009996883298013452,72939,2687
240,2023-08,total,11.0,11.5,11.25,0.03678405719936107,0.016779493420552218,0.020004563778808854,0.009009516494535356,65735,2418
241,2023-08,total,11.5,12.0,11.75,0.03590425531914894,0.015309175531914894,0.020595079787234044,0.008245417392732136,60160,2160
242,2023-08,total,12.0,13.0,12.5,0.03718393177824087,0.015855028761848057,0.021328903016392814,0.014272000640335606,104131,3872
243,2023-08,total,13.0,14.0,13.5,0.037265777943507036,0.01477579938473012,0.022489978558776918,0.011761780900510322,85816,3198
244,2023-08,total,14.0,15.0,14.5,0.03716178443649374,0.01524765205724508,0.02191413237924866,0.009806783664972903,71552,2659
245,2023-08,total,15.0,16.0,15.5,0.0372408947183511,0.01462198651565088,0.022618908202700214,0.008192375894544182,59773,2226
246,2023-08,total,16.0,19.0,17.5,0.03797816353782107,0.013659571125598931,0.024318592412222135,0.017448871148083914,127310,4835
247,2023-08,total,19.0,231.0,125.0,0.04147698772489376,0.012644211203755406,0.02883277652113836,0.028963399173320154,211322,8765
248,2023-10,total,-0.011,0.0,-0.0055,,,,0.0,0,0
249,2023-10,total,0.0,0.5,0.25,0.06403531966175297,0.04691067369737772,0.017124645964375244,0.10781595943298501,786644,50373
250,2023-10,total,0.5,1.0,0.75,0.05628921482446458,0.040204111630212674,0.016085103194251903,0.0951092997508009,693934,39061
251,2023-10,total,1.0,1.5,1.25,0.05173195428948911,0.03574655212053897,0.01598540216895014,0.08465066759646905,617626,31951
252,2023-10,total,1.5,2.0,1.75,0.04840619523516317,0.03276508458150101,0.015641110653662162,0.07523641842971399,548938,26572
253,2023-10,total,2.0,2.5,2.25,0.04593115062576303,0.03025361983171617,0.01567753079404686,0.06657283666754658,485727,22310
254,2023-10,total,2.5,3.0,2.75,0.04362234923944816,0.027722440468432908,0.01589990877101525,0.05889223584854199,429688,18744
255,2023-10,total,3.0,3.5,3.25,0.04226574250344458,0.026418061150435962,0.015847681353008614,0.05212430514952083,380308,16074
256,2023-10,total,3.5,4.0,3.75,0.04143437672915935,0.025036739987981414,0.016397636741177942,0.046071543798160516,336146,13928
