,expiration_month,content_pillar,pillar_rank,percent_viewing_subs,absolute churn reduction,number of users impacted,ckg_series_id
149,2022-03-01,Engagement Anchor - Specials,2.0,0.008646349363674298,0.00010173415382278006,440.1320627468781,3
150,2022-03-01,Experimentation - Adult Animation Series (OP),6.0,0.001304580176668448,5.139366641933318e-06,22.234421345529547,1
151,2022-03-01,Experimentation - Comedy Series (OP),6.0,0.00010493965276532166,8.269782772046819e-07,3.5777528127575065,2
152,2022-03-01,Experimentation - Docu-Movies (OP),6.0,0.004717122144824734,5.5620181478442665e-05,240.6293686494606,3
153,2022-03-01,Experimentation - Docu-Series (OP),6.0,0.00041821764699718496,5.416673578617637e-06,23.434133236479166,3
154,2022-03-01,Experimentation - Kids Series (Acq),6.0,1.525554423460623e-05,6.011286375617875e-08,0.2600660420169011,1
155,2022-03-01,Experimentation - Kids Series (OP),6.0,0.00028190396588675395,5.552669253429399e-06,24.022490780434595,5
156,2022-03-01,Experimentation - Specials,6.0,0.00017671005405085551,8.352519357449073e-06,36.135471086054494,12
157,2022-03-01,Experimentation - Unscripted Series (OP),6.0,0.0007907457094937563,3.1154147784595576e-06,13.47820649439047,1
158,2022-03-01,Flagship Anchor - Comedy Series (OP),1.0,0.025694265949440354,0.00010077854466779973,435.9978146821233,1
159,2022-03-01,Flagship Anchor - Drama Series (OP),1.0,0.05637626274300233,0.005329092399058211,23055.23112967594,15
160,2022-03-01,Library Supporter - Adult Animation Series (Acq),5.0,0.002121124607106357,0.0002600372776061094,1124.9982339582007,31
161,2022-03-01,Library Supporter - Adult Animation Series (OP),5.0,0.0011996405239031265,4.726048400793825e-06,20.446284292160723,1
162,2022-03-01,Library Supporter - Comedy Series (Acq),5.0,0.004331608585155151,0.0011684963759548556,5055.2611973079875,67
163,2022-03-01,Library Supporter - Docu-Movies (Acq),5.0,9.72931001484873e-05,6.116815516910012e-05,264.6315450354572,160
164,2022-03-01,Library Supporter - Docu-Series (Acq),5.0,0.00039986889928756493,6.441101362190949e-05,278.6611105884125,41
165,2022-03-01,Library Supporter - Drama Series (Acq),5.0,0.002072169102948215,0.0005805310755577012,2511.5492700609802,71
166,2022-03-01,Library Supporter - Kids Series (Acq),5.0,0.0034467342485564076,0.0007093483934770967,3068.8511173063894,54
167,2022-03-01,Library Supporter - Kids Series (OP),5.0,0.0005824844162304198,2.294983873690759e-06,9.928779552812836,1
168,2022-03-01,Library Supporter - Movies (Acq),5.0,0.0017909691208732117,0.007317352869746455,31657.03445097261,1714
169,2022-03-01,Library Supporter - Specials,5.0,0.0004186028880132104,8.244215998452764e-06,35.6669186972422,5
170,2022-03-01,Library Supporter - Unscripted Series (Acq),5.0,0.0009675052945323865,0.00016087313551597926,695.984802690239,35
171,2022-03-01,New Supporter - Adult Animation Series (Acq),4.0,0.003112824457688517,1.2258913454743503e-05,53.035688243603,1
172,2022-03-01,New Supporter - Comedy Series (Acq),4.0,0.0005748566441131167,1.131997769567017e-05,48.97357422486707,5
173,2022-03-01,New Supporter - Comedy Series (OP),4.0,0.000681321851301899,8.550214358396535e-05,369.907581778735,25
174,2022-03-01,New Supporter - Docu-Movies (Acq),4.0,0.0018298563020190946,5.7531127442035646e-05,248.89668652796905,8
175,2022-03-01,New Supporter - Docu-Movies (OP),4.0,0.0004192442009987115,0.0001672115291638937,723.4065697756366,102
176,2022-03-01,New Supporter - Docu-Series (Acq),4.0,0.0004442310466043008,2.797136974168335e-05,121.0124250279657,16
177,2022-03-01,New Supporter - Docu-Series (OP),4.0,0.0011053677668259748,0.0002529377481898104,1094.2835682425841,27
178,2022-03-01,New Supporter - Drama Series (Acq),4.0,0.0015252867823337003,0.00016586346317845613,717.574437295102,19
179,2022-03-01,New Supporter - Drama Series (OP),4.0,0.0008585456428883186,0.00035564036129502596,1538.6054725092256,62
180,2022-03-01,New Supporter - Kids Series (Acq),4.0,0.002653231925570203,0.0004208408822971854,1820.682225718784,21
181,2022-03-01,New Supporter - Kids Series (OP),4.0,0.0020453216022821063,9.220796347192417e-05,398.91894353673166,9
182,2022-03-01,New Supporter - Movies (Acq),4.0,0.0006281389788204856,8.137473306191884e-05,352.0511821468472,33
183,2022-03-01,New Supporter - Movies (OP),4.0,0.000347801516052602,3.557445948264293e-05,153.90564176192018,26
184,2022-03-01,New Supporter - Specials,4.0,0.00032708613293483125,3.602837018523708e-05,155.86939381891042,28
185,2022-03-01,New Supporter - Unscripted Series (Acq),4.0,0.0024478358623635553,0.00017974582487129825,777.6336431573982,16
186,2022-03-01,New Supporter - Unscripted Series (OP),4.0,0.0006538647609872279,0.00012120269282527019,524.358725159195,32
187,2022-03-01,Segment Anchor - Adult Animation Series (Acq),3.0,0.01853109449746388,0.002728277352118433,11803.335395360567,20
188,2022-03-01,Segment Anchor - Adult Animation Series (OP),3.0,0.0026289232174589996,4.1357683066761686e-05,178.92557882099882,4
189,2022-03-01,Segment Anchor - Comedy Series (Acq),3.0,0.002966047630582836,4.664992716631178e-05,201.821393299906,4
190,2022-03-01,Segment Anchor - Comedy Series (OP),3.0,0.005829472191043383,0.0018827411937424945,8145.295695523379,45
191,2022-03-01,Segment Anchor - Docu-Movies (OP),3.0,0.002042532457326082,4.016807099333636e-05,173.77896486618712,5
192,2022-03-01,Segment Anchor - Docu-Series (Acq),3.0,0.0003839311965709235,1.5127399150619003e-06,6.544560643572639,1
193,2022-03-01,Segment Anchor - Docu-Series (OP),3.0,0.0015862774720807225,0.0001658565407555157,717.5444888444246,17
194,2022-03-01,Segment Anchor - Drama Series (Acq),3.0,0.005840099706538804,0.00011445854511111381,495.1815458800312,5
195,2022-03-01,Segment Anchor - Drama Series (OP),3.0,0.004542423718861907,0.0006939539273651887,3002.2501001443065,23
196,2022-03-01,Segment Anchor - Kids Series (OP),3.0,0.0003868975523943191,1.7916840873266615e-05,77.51355700264986,6
197,2022-03-01,Segment Anchor - Movies (Acq),3.0,0.013229943622422748,0.001135621310972168,4913.033935173647,23
198,2022-03-01,Segment Anchor - Movies (OP),3.0,0.0004657960131649403,6.405154864153051e-05,277.1059586816589,35
199,2022-03-01,Segment Anchor - Specials,3.0,0.00031874841665942413,1.2559258533439976e-06,5.433506995618724,1
200,2022-03-01,Segment Anchor - Unscripted Series (Acq),3.0,0.0034433612494383188,0.00016374139093457835,708.3937246347026,5
201,2022-03-01,Segment Anchor - Unscripted Series (OP),3.0,0.007953788747798219,0.000650480607267169,2814.1716492975243,9
202,2022-04-01,Brand Halo - Comedy Series (OP),7.0,0.002736882542781478,0.00017517066272214332,755.115883305503,8
203,2022-04-01,Brand Halo - Docu-Movies (Acq),7.0,0.00014962614342210997,5.895717699599956e-07,2.5414929699244313,1
204,2022-04-01,Brand Halo - Docu-Movies (OP),7.0,0.0001038868337935506,7.180986836825831e-05,309.5539592092593,176
205,2022-04-01,Brand Halo - Docu-Series (OP),7.0,0.00022897500560899636,1.7303801293562515e-05,74.59225760341685,19
206,2022-04-01,Brand Halo - Drama Series (OP),7.0,0.0009305020780635547,0.00016891349977173065,728.1428556599892,32
207,2022-04-01,Brand Halo - Movies (Acq),7.0,0.010674491456695178,4.198102938165332e-05,180.96947052078576,1
208,2022-04-01,Brand Halo - Movies (OP),7.0,0.00011385749799008929,4.2538290083236896e-05,183.37167874657294,95
209,2022-04-01,Brand Halo - Specials,7.0,0.00029596702918059973,0.00012177105033375768,524.9238245999439,105
210,2022-04-01,Brand Halo - Unscripted Series (OP),7.0,0.0007700062912573793,4.852736884373987e-05,209.18906407893857,10
211,2022-04-01,Engagement Anchor - Comedy Series (Acq),2.0,0.014184326417899091,5.574939578691096e-05,240.3213733920517,1
212,2022-04-01,Engagement Anchor - Comedy Series (OP),2.0,0.004708341424462818,0.00020946145980881709,902.9347311020995,11
213,2022-04-01,Engagement Anchor - Docu-Series (OP),2.0,0.0011739107150479293,3.2331894851543586e-05,139.37452173992241,7
214,2022-04-01,Engagement Anchor - Drama Series (OP),2.0,0.010720850913438608,0.0023319961520323895,10052.638420396712,32
215,2022-04-01,Engagement Anchor - Movies (Acq),2.0,0.024970481047204694,0.003096543917188048,13348.408111754874,37
216,2022-04-01,Engagement Anchor - Movies (OP),2.0,0.003930643990921289,0.000153791558131125,662.9560364643983,10
217,2022-04-01,Engagement Anchor - Specials,2.0,0.004695631813595673,5.53674288904793e-05,238.67481188506028,3
218,2022-04-01,Experimentation - Adult Animation Series (OP),6.0,0.0011459738736515088,4.5146693957998085e-06,19.46158400992765,1
219,2022-04-01,Experimentation - Comedy Series (OP),6.0,0.0001090299029587468,8.592102798063439e-07,3.7038355584135183,2
220,2022-04-01,Experimentation - Docu-Movies (OP),6.0,0.0012871714642917016,1.5205350435643084e-05,65.5463731583458,3
221,2022-04-01,Experimentation - Docu-Series (OP),6.0,0.00431874404975104,0.00012239083013557833,527.5955366619635,3
222,2022-04-01,Experimentation - Kids Series (Acq),6.0,9.047162160406649e-06,3.564942858275133e-08,0.1536755603665238,1
223,2022-04-01,Experimentation - Kids Series (OP),6.0,0.000298463559886646,5.878756283335396e-06,25.341813375850357,5
224,2022-04-01,Experimentation - Specials,6.0,0.00015424638221770226,7.291087475380653e-06,31.4300115879723,12
225,2022-04-01,Experimentation - Unscripted Series (OP),6.0,0.0008031096256237903,3.164119631443585e-06,13.639709716527644,1
226,2022-04-01,Flagship Anchor - Comedy Series (OP),1.0,0.02038604008959938,8.003492423877545e-05,345.01006945275583,1
227,2022-04-01,Flagship Anchor - Drama Series (OP),1.0,0.03400376671250562,0.003280709406520338,14142.298389901107,15
228,2022-04-01,Library Supporter - Adult Animation Series (Acq),5.0,0.0020668343446050147,0.0002580728108584618,1112.485820971249,32
229,2022-04-01,Library Supporter - Adult Animation Series (OP),5.0,0.0012053603739864858,4.748577164495615e-06,20.46990052038649,1
230,2022-04-01,Library Supporter - Comedy Series (Acq),5.0,0.004309579167149205,0.0010831183630418406,4669.045984772436,67
231,2022-04-01,Library Supporter - Docu-Movies (Acq),5.0,0.00010229231307699258,6.390119020294183e-05,275.46167226019026,159
232,2022-04-01,Library Supporter - Docu-Series (Acq),5.0,0.00037483986747471415,4.569192118955567e-05,196.96617511634997,31
233,2022-04-01,Library Supporter - Drama Series (Acq),5.0,0.0024175167383282065,0.0006718354756358874,2896.110745584548,71
234,2022-04-01,Library Supporter - Kids Series (Acq),5.0,0.003653807702250384,0.0007504686522384549,3235.0782398250058,54
235,2022-04-01,Library Supporter - Kids Series (OP),5.0,0.0005862097122909641,2.3096599597108303e-06,9.956352813363702,1
