,entertainment_segment_lifetime,medal,content_sub_pillar,percent_viewing_subs
292,Nostalgia Millennial Watchers,Bronze,Supporter: New Content,0.014923586779093091
293,Nostalgia Millennial Watchers,Bronze,Supporter: Segment-Specific Library,0.0038648529979677443
294,Nostalgia Millennial Watchers,Gold,Engagement Anchor,0.06867275451961731
295,Nostalgia Millennial Watchers,Gold,Experimentation,0.02997275204359673
296,Nostalgia Millennial Watchers,Gold,Supporter: New Content,0.1049764485067753
297,Nostalgia Millennial Watchers,Gold,Tentpole Anchor,0.03430619559651818
298,Nostalgia Millennial Watchers,Platinum,Engagement Anchor,0.2794999547738406
300,Nostalgia Millennial Watchers,Platinum,Supporter: New Content,0.1929768423959048
301,Nostalgia Millennial Watchers,Platinum,Tentpole Anchor,0.5679775280898877
302,Nostalgia Millennial Watchers,Silver,Buzz/Prestige/Brand Support,0.011211959423384944
303,Nostalgia Millennial Watchers,Silver,Engagement Anchor,0.03755262414500433
304,Nostalgia Millennial Watchers,Silver,Experimentation,0.08702801832702399
306,Nostalgia Millennial Watchers,Silver,Supporter: Broad Library,0.1746384872080089
307,Nostalgia Millennial Watchers,Silver,Supporter: New Content,0.03201113618053022
308,OWN Watchers,Bronze,Buzz/Prestige/Brand Support,0.008268593848498682
309,OWN Watchers,Bronze,Engagement Anchor,0.08059023836549375
310,OWN Watchers,Bronze,Experimentation,0.00746692426318894
312,OWN Watchers,Bronze,News & Sports,0.0033675729885114473
313,OWN Watchers,Bronze,Supporter: Broad Library,0.010817881122495576
314,OWN Watchers,Bronze,Supporter: New Content,0.02288023615302956
315,OWN Watchers,Bronze,Supporter: Segment-Specific Library,0.005551262446225133
316,OWN Watchers,Gold,Engagement Anchor,0.14379176046651962
317,OWN Watchers,Gold,Experimentation,0.04614844709598175
318,OWN Watchers,Gold,Supporter: New Content,0.10726439656075755
319,OWN Watchers,Gold,Tentpole Anchor,0.09133679428942246
320,OWN Watchers,Platinum,Engagement Anchor,0.28034133694884855
322,OWN Watchers,Platinum,Supporter: New Content,0.20568628413767526
323,OWN Watchers,Platinum,Tentpole Anchor,0.5570603105814373
324,OWN Watchers,Silver,Buzz/Prestige/Brand Support,0.09023024268823895
325,OWN Watchers,Silver,Engagement Anchor,0.09990814800891877
326,OWN Watchers,Silver,Experimentation,0.11386039758989697
328,OWN Watchers,Silver,Supporter: Broad Library,0.10880829015544041
329,OWN Watchers,Silver,Supporter: New Content,0.05662477335762585
330,Pay-1 Movie Watchers,Bronze,Buzz/Prestige/Brand Support,0.002835896445694774
331,Pay-1 Movie Watchers,Bronze,Engagement Anchor,0.02852494791746871
332,Pay-1 Movie Watchers,Bronze,Experimentation,0.007569581235068175
334,Pay-1 Movie Watchers,Bronze,News & Sports,0.002205813106097058
335,Pay-1 Movie Watchers,Bronze,Supporter: Broad Library,0.01105135490826848
336,Pay-1 Movie Watchers,Bronze,Supporter: New Content,0.010288806790309466
337,Pay-1 Movie Watchers,Bronze,Supporter: Segment-Specific Library,0.0009815332238787043
338,Pay-1 Movie Watchers,Gold,Engagement Anchor,0.06782956492504733
339,Pay-1 Movie Watchers,Gold,Experimentation,0.03343441196697175
340,Pay-1 Movie Watchers,Gold,Supporter: New Content,0.08360561367980927
341,Pay-1 Movie Watchers,Gold,Tentpole Anchor,0.051650464576838244
342,Pay-1 Movie Watchers,Platinum,Engagement Anchor,0.302596441752463
344,Pay-1 Movie Watchers,Platinum,Supporter: New Content,0.20286254460001002
345,Pay-1 Movie Watchers,Platinum,Tentpole Anchor,0.605357642923109
