,ckg_series_id,season_number,title_name,content_strategy_category,medal,content_cost
49659,17de6fce-b7ed-4c23-8fde-b5e06bb82837,0,Keep/Delete,Movies (Acq),Bronze,
47881,17fd1230-1457-4ec2-a5a1-31c5c8ed7708,0,Youth (2015),Movies (Acq),Bronze,186477.0
47749,1819b132-d8d0-44a9-918b-f94cbc826076,0,Flight (2012),Movies (Acq),Bronze,
48874,1864cadf-7e18-4414-915d-bd711e91a12c,0,Jackass Shark Week,Specials,Bronze,
49436,188d43f5-07c1-4073-9143-f05992a74f4e,2,Serving the Hamptons,Unscripted Series (OP),Bronze,2315958.0
47761,18a0993f-209a-4653-8f94-f3fb8422e678,12,Curb Your Enthusiasm,Comedy Series (OP),Gold,73700000.0
47652,18beb035-a929-4286-9e1f-1bd537055e87,0,A Serious Man,Movies (Acq),Bronze,
48311,18f8355f-6704-4507-9377-d43b792c497e,0,Edge of Darkness,Movies (Acq),Bronze,449625.0
48643,18fbe8e8-b286-45f2-bf88-d865dd496e9d,0,Nuclear Sharks,Specials,Bronze,
48708,191ac80a-c38e-4c8e-936f-4c5bb5f4f2f1,0,Lair of the Mega Shark,,Bronze,
49444,1931e4d7-06ec-45f3-8671-c29b905cde6e,0,Stand Up & Shout: Songs From a Philly High School,Docu-Movies (OP),Bronze,1800000.0
49670,194b99a1-0850-4324-a5c1-e7c0caced4a1,0,The Homesman,Movies (Acq),Bronze,100000.0
49201,19906821-b10a-4226-a5a1-ff9b1cf4a6f3,2,Mean Girl Murders,Docu-Series (Acq),Bronze,
47632,19f60fd6-2c73-4583-8647-e61c48b059fc,0,Buffy the Vampire Slayer,Movies (Acq),Bronze,230000.0
49504,1a13eecc-3913-44be-aca3-e61a8f722aa9,1,Building Outside the Lines,Unscripted Series (Acq),Bronze,
49263,1a22de28-61c6-420a-aaba-678ec00f111c,0,Shallow Water Invasion,Specials,Bronze,
49738,1a27f33c-e0dd-43ae-9713-cd61a7bff6fd,0,A Tale of Springtime,Movies (Acq),Bronze,
48109,1a67084e-9c2b-4c5a-b933-ce02847ca420,0,Men in Black,Movies (Acq),Bronze,510857.5421
48162,1a6c7722-6b8d-4b7e-8afa-68c2aeebc9a8,0,The Last Days On Mars,Movies (Acq),Bronze,60000.0
48716,1a943127-be9a-40f8-8bb5-2736b929d843,1,The Narcosatanist,Docu-Series (OP),Bronze,
48971,1ab7d948-d61d-4df8-a1d5-d5885a551c4e,0,August: Osage County,Movies (Acq),Bronze,229500.0
47401,1ac61f1c-2d04-49da-bb24-6229fa12fd06,1,Space Shuttle Columbia: The Final Flight,,Bronze,
47590,1adc15d0-24ae-4c51-b9f7-681995100de3,1,Restoring Galveston: The Inn,Unscripted Series (Acq),Bronze,
48197,1af35e4c-6b06-41a4-b8b4-59c1f1d69e20,0,Gossip,Movies (Acq),Bronze,105000.0
49443,1b1b0af9-0bfd-4e57-bc52-4431703f6b96,5,Welcome to Plathville,Unscripted Series (Acq),Bronze,
49344,1b460d21-2769-4cc8-b401-1317d1a7b78c,2,Ultimate Adventure Week,Unscripted Series (Acq),Bronze,
49745,1b460d21-2769-4cc8-b401-1317d1a7b78c,11,Ultimate Adventure Week,Unscripted Series (Acq),Bronze,
49119,1b460d21-2769-4cc8-b401-1317d1a7b78c,7,Ultimate Adventure Week,Unscripted Series (Acq),Bronze,
49356,1b460d21-2769-4cc8-b401-1317d1a7b78c,8,Ultimate Adventure Week,Unscripted Series (Acq),Bronze,
